CMDLINE /usr/local/anaconda3/bin/python dfs.py
MEM 0.011719 1583036199.3880
MEM 10.714844 1583036199.5251
MEM 15.468750 1583036199.6377
MEM 20.984375 1583036199.7402
MEM 26.785156 1583036199.8405
MEM 33.644531 1583036199.9430
MEM 36.707031 1583036200.0471
MEM 36.707031 1583036200.1495
MEM 36.707031 1583036200.2533
MEM 36.707031 1583036200.3535
MEM 36.707031 1583036200.4572
MEM 36.707031 1583036200.5591
MEM 36.707031 1583036200.6594
MEM 36.707031 1583036200.7636
MEM 36.707031 1583036200.8692
MEM 36.707031 1583036200.9744
MEM 36.707031 1583036201.0768
MEM 36.707031 1583036201.1802
MEM 36.707031 1583036201.2832
MEM 36.707031 1583036201.3850
MEM 36.707031 1583036201.4870
MEM 36.707031 1583036201.5872
MEM 36.707031 1583036201.6875
MEM 36.707031 1583036201.7910
MEM 36.707031 1583036201.8933
MEM 36.707031 1583036201.9954
MEM 36.707031 1583036202.1002
MEM 36.707031 1583036202.2043
MEM 36.707031 1583036202.3081
MEM 36.707031 1583036202.4112
MEM 36.707031 1583036202.5115
MEM 36.707031 1583036202.6118
MEM 36.707031 1583036202.7232
MEM 36.707031 1583036202.8292
MEM 36.707031 1583036202.9312
MEM 36.707031 1583036203.0347
MEM 36.707031 1583036203.1386
MEM 36.707031 1583036203.2388
MEM 36.707031 1583036203.3420
MEM 36.707031 1583036203.4442
MEM 36.707031 1583036203.5444
MEM 36.707031 1583036203.6456
MEM 36.707031 1583036203.7459
MEM 36.707031 1583036203.8474
MEM 36.707031 1583036203.9514
MEM 36.707031 1583036204.0528
MEM 36.707031 1583036204.1530
MEM 36.707031 1583036204.2550
MEM 36.707031 1583036204.3595
MEM 36.707031 1583036204.4599
MEM 36.707031 1583036204.5639
MEM 36.707031 1583036204.6642
MEM 36.707031 1583036204.7694
MEM 36.707031 1583036204.8734
MEM 36.707031 1583036204.9773
MEM 36.707031 1583036205.0811
MEM 36.707031 1583036205.1854
MEM 36.707031 1583036205.2866
MEM 36.707031 1583036205.3870
MEM 36.707031 1583036205.4873
MEM 36.707031 1583036205.5876
MEM 36.707031 1583036205.6878
MEM 36.707031 1583036205.7926
MEM 36.707031 1583036205.8958
MEM 36.707031 1583036205.9988
MEM 36.707031 1583036206.0991
MEM 36.707031 1583036206.2032
MEM 36.707031 1583036206.3046
MEM 36.707031 1583036206.4090
MEM 36.707031 1583036206.5138
MEM 36.707031 1583036206.6169
MEM 36.707031 1583036206.7171
MEM 36.707031 1583036206.8188
MEM 36.707031 1583036206.9194
MEM 36.707031 1583036207.0198
MEM 36.707031 1583036207.1203
MEM 36.707031 1583036207.2207
MEM 36.707031 1583036207.3267
MEM 36.707031 1583036207.4311
MEM 36.707031 1583036207.5364
MEM 36.707031 1583036207.6411
MEM 36.707031 1583036207.7415
MEM 36.707031 1583036207.8417
MEM 36.707031 1583036207.9443
MEM 36.707031 1583036208.0445
MEM 36.707031 1583036208.1482
MEM 36.707031 1583036208.2511
MEM 36.707031 1583036208.3550
MEM 36.707031 1583036208.4554
MEM 36.707031 1583036208.5591
MEM 36.707031 1583036208.6613
MEM 36.707031 1583036208.7651
MEM 36.707031 1583036208.8703
MEM 36.707031 1583036208.9711
MEM 36.707031 1583036209.0758
MEM 36.707031 1583036209.1782
MEM 36.707031 1583036209.2785
MEM 36.707031 1583036209.3795
MEM 36.707031 1583036209.4822
MEM 36.707031 1583036209.5874
MEM 36.707031 1583036209.6892
MEM 36.707031 1583036209.7925
MEM 36.707031 1583036209.8928
MEM 36.707031 1583036209.9953
MEM 36.707031 1583036210.0978
MEM 36.707031 1583036210.2021
MEM 36.707031 1583036210.3057
MEM 36.707031 1583036210.4101
MEM 36.707031 1583036210.5105
MEM 36.707031 1583036210.6110
MEM 36.707031 1583036210.7147
MEM 36.707031 1583036210.8286
MEM 36.707031 1583036210.9299
MEM 36.707031 1583036211.0331
MEM 36.707031 1583036211.1369
MEM 36.707031 1583036211.2381
MEM 36.707031 1583036211.3420
MEM 36.707031 1583036211.4422
MEM 36.707031 1583036211.5465
MEM 36.707031 1583036211.6467
MEM 36.707031 1583036211.7505
MEM 36.707031 1583036211.8576
MEM 36.707031 1583036211.9627
MEM 36.707031 1583036212.0649
MEM 36.707031 1583036212.1657
MEM 36.707031 1583036212.2708
MEM 36.707031 1583036212.3758
MEM 36.707031 1583036212.4798
MEM 36.707031 1583036212.5800
MEM 36.707031 1583036212.6802
MEM 36.707031 1583036212.7805
MEM 36.707031 1583036212.8807
MEM 36.707031 1583036212.9824
MEM 36.707031 1583036213.0827
MEM 36.707031 1583036213.1878
MEM 36.707031 1583036213.2886
